player_name,team_code,position_raw,Goals,Assists,Minutes Played,team_code_Attacking,position_raw_Attacking,Assists_Attacking,Attempts On Target,Attempts At Goal,Attempts At Goal Conv. Rate (%),Attempts Inside the Penalty Area,Attempts Outside the Penalty Area,Headed Attempts at Goal,xG,xG Efficiency,Corners,team_code_Distribution,position_raw_Distribution,Passes,Passes Completed,Passing Accuracy (%),Crosses,Crossing Accuracy (%),Take-Ons Completed,Defensive Linebreaks Attempted,Defensive Linebreaks Acc (%),Switches of Play Attempted,Switches of Play Acc (%),team_code_Defending,position_raw_Defending,Own Goals,Forced Turnovers,Defensive Pressures Applied,Defensive Pressures Directly Applied,team_code_Discipline,position_raw_Discipline,Fouls Against,Fouls For,Yellow Cards,Red Cards,Indirect Red Cards,Offsides,team_code_Goalkeeping,position_raw_Goalkeeping,Goalkeeper Saves,Goalkeeper Actions Inside the Penalty Area,Goalkeeper Actions Outside the Penalty Area,team_code_Movement,position_raw_Movement,Offers To Receive,Offers In Behind,Offers In Between,Offers In Front,Offers Inside Team Shape,Offers Outside Team Shape,Receptions In Behind,Receptions Between Midfield And Defensive Line,Receptions Under Pressure,Player Involvements,team_code_Physical,position_raw_Physical,Top Speed (km/h),High Speed Running,Sprints,Total Distance (m)
Juan Jose Caceres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PAR,DF,9,6,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
Jude Bellingham,ENG,MF,7,1,698,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ENG,MF,9,17,1,0,0,1,,,,,,ENG,MF,485,130,258,97,367,118,12,93,183,580,,,,,,
Jules Kounde,,,,,,,,,,,,,,,,,,FRA,DF,353,314,89,15,13,0,7,43,0,0,,,,,,,,,,,,,,,,,,,,FRA,DF,245,108,54,83,101,144,9,62,71,750,,,,,,
Julian Alvarez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ARG,FW,11,4,0,0,0,2,,,,,,ARG,FW,299,111,118,70,189,110,3,116,120,494,ARG,FW,34.98,787,340,71340.54
Julian Quinones,MEX,FW,4,1,440,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MEX,FW,248,99,115,34,120,128,6,84,141,355,,,,,,
Julio Enciso,,,,,,PAR,FW,2,1,8,13,6,2,1,0.74,1.36x,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kai Havertz,GER,FW,3,0,392,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kevin De Bruyne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BEL,MF,223,76,96,51,126,97,6,61,86,446,,,,,,
Khojiakbar Alijonov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UZB,DF,0,4,76,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kim Seunggyu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KOR,GK,11,42,34,,,,,,,,,,,,,,,,,,
Kosta Barbarouses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NZL,FW,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kristoffer Ajer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NOR,DF,35.09,480,150,54843.56
Kwasi Sibo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GHA,MF,7,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
Kylian Mbappe,FRA,FW,10,4,769,FRA,FW,4,23,41,24,27,14,0,6.54,1.53x,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FRA,FW,431,191,163,77,282,149,29,165,184,626,FRA,FW,37.61,529,250,66726.57
Lamine Yamal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ESP,FW,14,9,0,0,0,7,,,,,,ESP,FW,317,119,164,34,119,198,33,224,188,740,,,,,,
Lautaro Martinez,ARG,FW,3,1,368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ARG,FW,8,5,1,0,0,2,,,,,,,,,,,,,,,,,,,,,,,
Lawrence Ati Zigi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GHA,GK,8,31,30,,,,,,,,,,,,,,,,,,
Lawrence Shankland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SCO,FW,0,4,61,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leandro Paredes,,,,,,,,,,,,,,,,,,ARG,MF,565,532,94,2,50,3,8,38,7,100,,,,,,,ARG,MF,9,3,2,0,0,0,,,,,,ARG,MF,236,2,40,194,157,79,0,9,58,1154,,,,,,
Leandro Trossard,BEL,FW,2,2,561,BEL,FW,2,4,17,12,10,7,0,1.67,1.2x,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BEL,FW,213,84,95,34,105,108,10,92,95,500,,,,,,
Lewis Ferguson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SCO,MF,0,15,87,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lionel Messi,ARG,FW,8,4,853,ARG,FW,4,19,35,23,16,19,0,6.18,1.29x,38,ARG,FW,367,288,78,46,39,25,36,58,5,80,,,,,,,,,,,,,,,,,,,,ARG,FW,245,59,121,65,157,88,5,151,191,899,,,,,,
Lionel Mpasi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,COD,GK,15,83,70,,,,,,,,,,,,,,,,,,
Lisandro Martinez,,,,,,,,,,,,,,,,,,ARG,DF,450,422,94,3,0,2,9,67,1,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Luc De Fougerolles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAN,DF,8,8,2,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
Luca Zidane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ALG,GK,9,34,32,,,,,,,,,,,,,,,,,,
Lucas Bergvall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SWE,MF,0,10,60,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lucas Herrington,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AUS,DF,0,4,11,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Luis Diaz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,COL,FW,295,148,121,26,130,165,11,116,104,415,COL,FW,35.13,510,248,52994.8
Luis Suarez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,COL,FW,35.05,267,155,32718.6
Mahmoud Abunada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,QAT,GK,1,0,0,0,,,,,,,,,QAT,GK,16,124,103,,,,,,,,,,,,,,,,,,
Malik Tillman,USA,MF,2,1,415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Manuel Akanji,,,,,,,,,,,,,,,,,,SUI,DF,479,444,93,0,0,0,8,88,8,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Manuel Neuer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GER,GK,7,61,45,,,,,,,,,,,,,,,,,,
Marawan Attia,,,,,,,,,,,,,,,,,,EGY,MF,357,313,88,8,38,0,15,47,8,100,,,,,,,EGY,MF,8,1,2,0,0,0,,,,,,EGY,MF,245,8,79,158,140,105,0,22,119,749,,,,,,
Marc Cucurella,,,,,,ESP,DF,2,3,5,0,3,2,1,0.35,0x,0,ESP,DF,474,433,91,15,20,1,13,54,2,100,,,,,,,ESP,DF,8,4,1,0,0,4,,,,,,ESP,DF,412,165,137,110,90,322,16,118,172,987,,,,,,
Marc Guehi,,,,,,,,,,,,,,,,,,ENG,DF,532,514,97,0,0,2,10,70,4,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marcus Holmgren Pedersen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NOR,DF,35.59,322,137,29767.17
Marcus Rashford,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ENG,FW,35.17,285,147,28790.24
Marko Arnautovic,AUT,FW,2,0,173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marquinhos,,,,,,,,,,,,,,,,,,BRA,DF,380,367,97,1,100,0,4,75,6,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Martin Experience,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HAI,DF,7,6,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
Martin Odegaard,,,,,,NOR,MF,4,3,9,0,5,4,0,0.72,0x,12,NOR,MF,367,322,88,16,19,3,18,56,0,0,,,,,,,,,,,,,,,,,,,,NOR,MF,329,29,173,127,212,117,5,99,132,789,,,,,,
Matej Kovar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CZE,GK,11,60,52,,,,,,,,,,,,,,,,,,
Matheus Cunha,BRA,FW,3,0,324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Matias Fernandez Pardo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BEL,FW,34.82,83,52,7102.68
Matias Galarza,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PAR,MF,10,9,2,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
Matt Freese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA,GK,10,58,48,,,,,,,,,,,,,,,,,,
Mattias Svanberg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SWE,MF,0,0,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Max Crocombe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NZL,GK,11,97,88,,,,,,,,,,,,,,,,,,
Maxi Araujo,URU,MF,2,1,278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maxime Crepeau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAN,GK,7,49,40,,,,,,,,,,,,,,,,,,
Michael Boxall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NZL,DF,0,4,21,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michael Olise,,,,,,FRA,FW,7,5,20,0,10,10,0,2.34,0x,25,FRA,FW,417,362,87,20,25,17,28,75,3,100,,,,,,,,,,,,,,,,,,,,FRA,FW,365,75,199,91,234,131,9,140,228,952,,,,,,
Micky Van De Ven,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NED,DF,36.77,245,92,27342.03
Mike Maignan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FRA,GK,15,108,86,,,,,,,,,,,,,,,,,,
Mikel Merino,ESP,MF,2,0,262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mikel Oyarzabal,ESP,FW,5,1,664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ESP,FW,291,148,129,14,236,55,13,125,132,392,,,,,,
Miro Muheim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SUI,DF,1,3,16,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mohamed Hany,,,,,,EGY,DF,1,0,4,0,0,4,0,0.09,0x,0,,,,,,,,,,,,,EGY,DF,2,10,90,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mohamed Manai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,QAT,FW,1,2,52,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mohamed Salah,,,,,,EGY,FW,2,4,9,11,7,2,1,0.95,1.05x,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mohamed Toure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AUS,FW,0,3,86,5,,,,,,,,,,,,,,,,,,,,,,,,,,AUS,FW,35.77,217,79,19508.03
Mohammed Alowais,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KSA,GK,17,86,78,,,,,,,,,,,,,,,,,,
Mory Diaw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SEN,GK,5,53,45,,,,,,,,,,,,,,,,,,
Mostafa Shoubir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EGY,GK,14,119,105,,,,,,,,,,,,,,,,,,
Mostafa Zico,EGY,MF,2,1,398,EGY,MF,1,3,8,25,7,1,2,1.1,1.82x,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moussa Niakhate,,,,,,SEN,DF,1,0,1,0,1,0,1,0.06,0x,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nahuel Molina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ARG,DF,236,86,89,61,50,186,6,46,104,572,,,,,,
Nathan Saliba,,,,,,CAN,MF,2,1,3,33,1,2,1,0.3,3.36x,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Neil El Aynaoui,,,,,,,,,,,,,,,,,,MAR,MF,433,405,94,0,0,1,3,0,3,67,,,,,,,MAR,MF,15,7,0,0,0,0,,,,,,MAR,MF,334,37,99,198,250,84,1,25,154,918,,,,,,
Nelson Semedo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POR,DF,35.9,196,79,16630.4
Nestory Irankunda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AUS,FW,0,13,116,3,,,,,,,,,,,,,,,,,,,,,,,,,,AUS,FW,35.13,263,129,27279
Nico Elvedi,,,,,,,,,,,,,,,,,,SUI,DF,438,406,93,0,0,3,2,50,5,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nicolas Jackson,,,,,,SEN,FW,1,3,7,0,6,1,2,0.56,0x,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nicolas Pepe,CIV,FW,2,1,255,CIV,FW,1,3,6,33,5,1,0,1.42,1.41x,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nicolas Raskin,,,,,,BEL,MF,2,1,2,0,2,0,1,0.13,0x,0,,,,,,,,,,,,,,,,,,,BEL,MF,12,3,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
Nicolas Tagliafico,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ARG,DF,9,16,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,
Nikola Vasilj,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BIH,GK,0,0,0,0,,,,,,,,,BIH,GK,8,92,70,,,,,,,,,,,,,,,,,,
Nishan Velupillay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AUS,FW,0,1,57,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nuno Mendes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POR,DF,35.16,382,160,39049.58
Omar Marmoush,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EGY,FW,35.17,321,165,35476.36
Orjan Nyland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NOR,GK,17,107,93,,,,,,,,,,,,,,,,,,
Orlando Gill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PAR,GK,28,141,124,,,,,,,,,,,,,,,,,,
Orlando Mosquera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PAN,GK,9,48,42,,,,,,,,,,,,,,,,,,
Oston Urunov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UZB,MF,0,4,41,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ousmane Dembele,FRA,FW,6,2,648,FRA,FW,2,10,20,30,13,7,1,2.1,2.86x,17,FRA,FW,297,236,79,36,17,9,29,62,6,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pape Gueye,SEN,MF,2,1,257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Patrick Beach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AUS,GK,14,91,76,,,,,,,,,,,,,,,,,,
Patrick Berg,,,,,,NOR,MF,2,0,3,0,0,3,0,0.29,0x,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pau Cubarsi,,,,,,,,,,,,,,,,,,ESP,DF,690,668,97,1,0,0,7,71,2,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paul Okon Engstler,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AUS,MF,0,9,78,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pedri,,,,,,,,,,,,,,,,,,ESP,MF,469,420,90,14,36,2,16,75,2,100,,,,,,,,,,,,,,,,,,,,ESP,MF,363,45,146,172,277,86,5,65,180,1024,,,,,,
Pedro Neto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POR,FW,35.33,368,208,37581.23
Pedro Porro,,,,,,,,,,,,,,,,,,ESP,DF,420,379,90,19,26,3,17,35,9,100,,,,,,,ESP,DF,10,9,0,0,0,0,,,,,,ESP,DF,215,58,96,61,52,163,9,69,139,896,,,,,,
Pedro Vite,,,,,,,,,,,,,,,,,,ECU,MF,297,269,91,7,43,1,9,56,2,100,,,,,,,,,,,,,,,,,,,,ECU,MF,261,11,108,142,153,108,1,27,83,640,,,,,,
Pico Lopes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CPV,DF,34.95,366,99,41751.06
Promise David,,,,,,CAN,FW,1,3,5,20,3,2,1,0.75,1.34x,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rafael Leao,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POR,FW,34.95,188,75,18513.49
Ramin Rezaeian,IRN,DF,2,1,309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ramy Bensebaini,,,,,,,,,,,,,,,,,,ALG,DF,385,359,93,0,0,1,8,38,1,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raul Jimenez,MEX,FW,3,0,348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raul Rangel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MEX,GK,8,57,46,,,,,,,,,,,,,,,,,,
Remo Freuler,,,,,,,,,,,,,,,,,,SUI,MF,324,299,92,5,20,0,7,71,2,0,,,,,,,SUI,MF,8,3,0,0,0,1,,,,,,SUI,MF,328,43,138,147,228,100,3,34,105,694,,,,,,
Renato Veiga,,,,,,,,,,,,,,,,,,POR,DF,336,320,95,0,0,1,4,50,1,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ricardo Rodriguez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SUI,DF,11,2,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
Richard Rios,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,COL,MF,10,4,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
Richie Laryea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAN,DF,8,13,1,0,0,1,,,,,,,,,,,,,,,,,,CAN,DF,35.23,464,231,46053.79
Riyad Mahrez,ALG,FW,2,1,288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Roberto Alvarado,,,,,,MEX,FW,3,0,5,0,2,3,0,0.28,0x,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rodri,,,,,,,,,,,,,,,,,,ESP,MF,799,747,93,3,0,2,21,90,11,91,,,,,,,ESP,MF,11,9,0,0,0,1,,,,,,ESP,MF,414,5,122,287,291,123,2,41,258,1676,,,,,,
Rodrigo De Paul,,,,,,,,,,,,,,,,,,ARG,MF,327,300,92,13,38,2,9,67,1,100,,,,,,,,,,,,,,,,,,,,ARG,MF,337,34,162,141,146,191,4,43,111,712,,,,,,
Romelu Lukaku,BEL,FW,3,1,279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ronwen Williams,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RSA,GK,14,72,59,,,,,,,,,,,,,,,,,,
Ross Stewart,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SCO,FW,0,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ruben Vargas,SUI,FW,2,1,314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ryan Gravenberch,,,,,,NED,MF,2,0,5,0,2,3,0,0.25,0x,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NED,MF,35.61,443,129,37432.87
Sadio Mane,,,,,,SEN,FW,1,3,6,0,4,2,0,0.58,0x,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Samuel Moutoussamy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,COD,MF,8,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
Sander Berge,,,,,,,,,,,,,,,,,,NOR,MF,425,412,97,2,0,1,4,75,2,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scott Mckenna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SCO,DF,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sherzod Nasrullaev,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UZB,DF,0,5,42,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Son Heungmin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KOR,FW,35.17,169,96,18757.38
Sondre Langas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NOR,DF,35.51,26,11,2880.7
Soufiane Rahimi,MAR,FW,2,1,215,MAR,FW,1,4,6,33,5,1,2,1.59,1.26x,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tani Oluwaseyi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAN,FW,34.87,350,172,29357.02
Tete Yengi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AUS,FW,0,1,17,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thapelo Maseko,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RSA,FW,35.17,299,159,27093.85
Theo Hernandez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FRA,DF,36.17,288,134,29720.25
Thibaut Courtois,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BEL,GK,17,110,90,,,,,,,,,,,,,,,,,,
Thomas Meunier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BEL,DF,9,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
Tim Ream,,,,,,,,,,,,,,,,,,USA,DF,298,281,94,0,0,2,6,33,5,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Torbjorn Heggem,,,,,,,,,,,,,,,,,,NOR,DF,301,282,94,0,0,1,4,25,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ugurcan Cakir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TUR,GK,8,55,46,,,,,,,,,,,,,,,,,,
Umar Eshmurodov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UZB,DF,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unai Simon,,,,,,,,,,,,,,,,,,ESP,GK,314,253,81,0,0,0,5,20,2,100,,,,,,,,,,,,,,,ESP,GK,14,120,93,,,,,,,,,,,,,,,,,,
Viktor Gyokeres,,,,,,SWE,FW,2,6,12,8,9,3,0,1.39,0.72x,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Viktor Johansson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SWE,GK,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vinicius Junior,BRA,FW,4,1,505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BRA,FW,263,104,130,29,113,150,17,93,111,397,,,,,,
Virgil Van Dijk,,,,,,,,,,,,,,,,,,NED,DF,347,330,95,0,0,1,1,100,1,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NED,DF,35.14,292,100,38197.13
Vitinha,,,,,,,,,,,,,,,,,,POR,MF,403,379,94,0,0,2,7,71,11,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vozinha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CPV,GK,18,136,102,,,,,,,,,,,,,,,,,,
Weston Mckennie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA,MF,8,2,1,0,0,0,,,,,,USA,MF,260,94,125,41,139,121,14,84,138,497,,,,,,
Wilfried Singo,,,,,,CIV,DF,1,0,2,0,2,0,0,0.14,0x,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
